GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Order Management Service,com.company.ordermanagement,OrderManagementApplication,5,3,0,0,2,1,1,1,1,1
Order Management Service,com.company.ordermanagement.service.impl,CustomerServiceImpl,136,0,2,0,31,0,8,0,7,0
Order Management Service,com.company.ordermanagement.service.impl,RetryablePaymentService,63,0,2,0,16,0,5,0,4,0
Order Management Service,com.company.ordermanagement.service.impl,OrderEventPublisher,36,0,0,0,11,0,3,0,3,0
Order Management Service,com.company.ordermanagement.service.impl,OrderServiceImpl,65,214,3,5,10,54,6,10,4,8
Order Management Service,com.company.ordermanagement.service.impl,InventoryServiceImpl,224,0,2,0,54,0,14,0,13,0
Order Management Service,com.company.ordermanagement.service.impl,PaymentServiceImpl,137,0,2,0,28,0,9,0,8,0
Order Management Service,com.company.ordermanagement.config,JpaConfig,3,0,0,0,1,0,1,0,1,0
Order Management Service,com.company.ordermanagement.config,SecurityConfig,89,0,0,0,22,0,8,0,8,0
Order Management Service,com.company.ordermanagement.config,KafkaRetryConfig,56,0,0,0,12,0,4,0,4,0
Order Management Service,com.company.ordermanagement.config,KafkaConfig,43,0,0,0,21,0,6,0,6,0
Order Management Service,com.company.ordermanagement.model.entity,InventoryItem,6,0,0,0,1,0,1,0,1,0
Order Management Service,com.company.ordermanagement.model.entity,Order.OrderStatus,0,74,0,0,0,2,0,1,0,1
Order Management Service,com.company.ordermanagement.model.entity,InventoryAuditLog.ChangeType,74,0,0,0,2,0,1,0,1,0
Order Management Service,com.company.ordermanagement.model.entity,Customer.CustomerTier,0,34,0,0,0,2,0,1,0,1
Order Management Service,com.company.ordermanagement.model.entity,Payment.PaymentStatus,64,0,0,0,2,0,1,0,1,0
Order Management Service,com.company.ordermanagement.model.entity,Order,0,31,0,0,0,8,0,3,0,3
Order Management Service,com.company.ordermanagement.model.entity,BaseEntity,0,6,0,0,0,2,0,1,0,1
Order Management Service,com.company.ordermanagement.controller,PaymentController,30,0,0,0,5,0,3,0,3,0
Order Management Service,com.company.ordermanagement.controller,InventoryController,60,0,0,0,10,0,8,0,8,0
Order Management Service,com.company.ordermanagement.controller,CustomerController,32,0,0,0,6,0,4,0,4,0
Order Management Service,com.company.ordermanagement.controller,OrderController,7,27,0,0,1,5,1,3,1,3
Order Management Service,com.company.ordermanagement.exception,ResourceNotFoundException,4,7,0,0,2,2,1,1,1,1
Order Management Service,com.company.ordermanagement.exception,OrderTotalExceededException,0,8,0,0,0,2,0,1,0,1
Order Management Service,com.company.ordermanagement.exception,GlobalExceptionHandler,10,36,0,0,3,11,1,5,1,5
Order Management Service,com.company.ordermanagement.exception,InsufficientInventoryException,7,0,0,0,3,0,1,0,1,0
Order Management Service,com.company.ordermanagement.model.dto.response,ApiResponse,0,40,0,0,0,22,0,4,0,4
Order Management Service,com.company.ordermanagement.mapper,OrderMapperImpl,158,0,14,0,39,0,12,0,5,0
Order Management Service,com.company.ordermanagement.mapper,InventoryMapperImpl,147,0,6,0,33,0,6,0,3,0
Order Management Service,com.company.ordermanagement.mapper,CustomerMapperImpl,42,0,2,0,11,0,3,0,2,0
